Id,Label,timeset,function,gene,is_essential,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,metabolic_reactions,node_type,degree,go,weighted degree,eigencentrality,clustering,triangles
306,306,,ORF-V,YJL026W,1,8.984109,12.350289,13.818389,14.8009,19.084177,16.851852,14.770314,17.517242,13.037531,8.626682,11.017123,6.330964,11.380024,13.014773,13.867945,14.570777,15.356745,16.505102,13.131445,16.461124,16.794285,9.257466,8.959228,8.129096,11.868132,13.114793,12.514707,11.375254,15.158058,15.678572,18.214052,19.04697,11.082418,9.471457,8.848331,9.295642,r_0974;r_0975;r_0976;r_0977;r_0978;r_0979,protein,8,FALSE,30,0.000696,0.464286,13
1420,1420,,ORF-V,YGL053W,0,2.791146,4.186127,2.720772,2.970754,3.414142,3.046841,2.993499,2.018809,0.607748,2.098655,2.423516,1.566497,2.447761,3.828409,3.07675,2.26484,3.352286,2.536735,2.564206,1.203024,1.660572,2.30484,1.716738,1.311817,3.578755,3.272189,2.770362,2.915822,2.556818,2.292017,2.693743,1.051916,1.756044,1.92815,1.397371,1.547718,,protein,0,FALSE,0,0,0,0
4206,4206,,ORF-V,YGR180C,0,17.254257,22.419653,19.259933,17.793026,23.050507,23.459696,24.654388,23.397076,18.001211,15.005606,18.77055,12.306599,14.296211,21.643183,18.08578,17.546804,20.403566,19.481632,23.998987,19.36609,12.945142,14.640576,14.26073,12.172792,19.774115,19.144379,11.114254,16.602434,19.921488,19.190126,28.929749,24.19283,11.884616,13.156495,11.227502,12.134854,r_0974;r_0975;r_0976;r_0977;r_0978;r_0979,protein,8,FALSE,30,0.000696,0.464286,13
331,331,,ORF-V,YNL234W,0,0.017026,0.07052,0.07605,0.074241,0.117845,0.067538,0.057421,0.101358,0.164649,0.057175,0.08105,0.06599,0.055109,0.126136,0.066591,0.057078,0.104794,0.07551,0.07179,0.269978,0.129143,0.060762,0.077253,0.067527,0.067155,0.084024,0.145928,0.037525,0.05062,0.080882,0.115258,0.430161,0.091209,0.04626,0.019211,0.049793,,protein,129,FALSE,156,0.531719,0.784884,6480
333,333,,ORF-U,YMR155W,0,1.056754,0.956069,0.872872,0.870641,0.859708,0.812636,0.5948,0.92372,0.42615,0.686099,0.810502,0.672081,0.985075,0.879545,0.741535,0.398402,0.64214,0.335714,0.668352,0.614471,0.539429,0.855819,0.659871,0.887786,0.825397,0.814201,0.699095,0.72211,0.730372,0.652311,0.571899,0.320148,0.737363,0.83563,0.778564,0.704357,,protein,86,FALSE,177,0.29463,0.856908,3132
1400,1400,,ORF-V,YNL014W,0,0.405221,3.602312,7.337117,13.563556,19.93154,19.270153,20.945827,15.076281,1.452784,0.33296,0.469178,0.394924,0.538462,3.580682,7.853273,14.641553,19.215162,14.838775,15.383215,9.380129,0.476571,0.277034,0.494635,0.25422,0.581197,3.540829,8.903846,10.673429,14.498966,14.069328,18.204172,6.846724,0.463736,0.285433,0.296259,0.377593,,protein,2,FALSE,2.341034,0.000202,0,0
963,963,,ORF-V,YJR056C,0,0.846765,1.182659,1.089671,1.131609,1.7789,1.518518,1.023835,0.659352,2.606538,0.496637,0.393836,0.677157,0.960964,1.406818,1.630926,1.242009,0.890747,1.317347,1.136501,2.474082,0.675429,0.656025,0.687768,0.752731,0.693529,1.48284,2.018099,1.331643,1.27686,1.288866,1.673985,3.331273,1.008791,0.788386,0.757331,0.717842,,protein,134,FALSE,278.67311,0.576121,0.844911,7529
2710,2710,,ORF-V,YJL012C,1,3.061294,2.737572,2.500568,3.125984,3.967452,2.842048,2.743228,1.859979,4.717918,3.14574,2.253425,3.252792,3.864524,3.094318,2.599323,2.489726,1.696767,2.611224,2.209302,3.734341,5.578286,3.84655,4.099785,2.98709,2.288156,2.583432,3.087104,2.033469,2.272727,2.234244,2.175631,4.662546,5.342857,3.70374,3.584429,3.440871,r_4722,protein,0,FALSE,0,0,0,0
4903,4903,,ORF-V,YDR506C,0,1.187287,0.765318,1.254257,1.178853,1.520763,1.458606,2.062838,1.623825,0.525424,1.11435,1.319635,0.894416,1.41217,0.971591,1.1614,1.665525,1.812709,1.482653,1.591506,1.423326,1.04,0.978373,0.918455,1.180735,1.420025,1.059172,1.236425,1.045639,1.378099,1.439076,1.330406,0.810878,0.891209,0.850394,0.760364,0.870332,,protein,0,FALSE,0,0,0,0
4675,4675,,ORF-V,YOR251C,0,4.452894,7.360694,4.165721,7.381328,9.338945,8.347494,8.241603,6.924765,5.307506,3.440583,3.530822,3.60203,5.407578,7.098864,6.55079,8.481735,7.011149,7.15102,6.75632,5.454644,5.616,3.61277,4.012876,4.383317,3.642247,4.995266,6.283937,6.018256,5.969008,7.30042,7.368825,6.77503,2.551648,3.63189,3.714863,3.642116,r_4326;r_4703,protein,4,FALSE,3.482442,0.000318,0.5,3
